age,period_days,star_1_mass(Donor),star_2_mass(NS)
100000,0.399733682135655,1,1.4
220000,0.399414459490985,1,1.4
364000,0.399031873651589,1,1.4
536800,0.398573335323909,1,1.4
744160,0.398023678240068,1,1.4
992992,0.397364540229939,1,1.4
1291590.4,0.39657356948589,1,1.4
1649908.48,0.395623406420957,1,1.4
2079890.176,0.39448031677222,1,1.4
2595868.2112,0.393102423285613,1,1.4
3135245.07012453,0.391651739336535,1,1.4
3620963.16645494,0.390334133167627,1,1.4
4079120.22288547,0.389081025178058,1,1.4
4521539.06327435,0.387861067570229,1,1.4
4953841.1727028,0.386659256275153,1,1.4
5378772.50405678,0.385468242476125,1,1.4
5797699.80568196,0.384284399601867,1,1.4
6211319.63810954,0.383105940860805,1,1.4
6620002.68364653,0.381931986984798,1,1.4
7023961.38348625,0.380762109656421,1,1.4
7423332.28622364,0.379596096702496,1,1.4
7818215.16314876,0.378433842865732,1,1.4
8208692.16173582,0.377275289574913,1,1.4
8594836.1402248,0.376120408009868,1,1.4
8976715.86866265,0.374969177405902,1,1.4
9354397.46059468,0.373821574893214,1,1.4
9727944.09251627,0.372677583146283,1,1.4
10097416.9727237,0.371537184880335,1,1.4
10462875.3896733,0.370400358148484,1,1.4
10824376.0097779,0.369267085157651,1,1.4
11181973.596585,0.368137348439288,1,1.4
11535721.1023983,0.367011128420002,1,1.4
11885669.3787988,0.365888409594037,1,1.4
12231867.8524456,0.364769177174277,1,1.4
12574364.6624067,0.363653413284163,1,1.4
12913206.2133658,0.36254110426579,1,1.4
13248437.8497662,0.361432239286877,1,1.4
13580104.2963365,0.360326806914177,1,1.4
13908249.5727419,0.359224791264564,1,1.4
14232916.3435401,0.358126180036536,1,1.4
14554146.4694338,0.35703096298646,1,1.4
14871981.3167936,0.355939130478595,1,1.4
15186461.8466319,0.354850671544791,1,1.4
15497628.4225039,0.35376557105697,1,1.4
15805520.223741,0.352683816321584,1,1.4
16110175.611259,0.3516053967107,1,1.4
16411632.4285473,0.350530302361854,1,1.4
16709928.1110426,0.349458522667124,1,1.4
17005099.5831402,0.348390043394592,1,1.4
17297182.7649023,0.34732485234294,1,1.4
17586212.8659236,0.346262938922902,1,1.4
17872224.6122536,0.345204292339769,1,1.4
18155252.2217605,0.344148903407456,1,1.4
18435329.6217697,0.343096758005334,1,1.4
18712489.7952894,0.342047844764275,1,1.4
18986765.1583224,0.341002154947215,1,1.4
19258187.9081577,0.339959679738663,1,1.4
19526790.0091761,0.3389204099851,1,1.4
19792603.145961,0.337884335588436,1,1.4
20055658.6010261,0.336851443714416,1,1.4
20315986.9108606,0.335821722901006,1,1.4
20573618.0496852,0.334795163045457,1,1.4
20828581.6051805,0.333771754681492,1,1.4
21080906.8587223,0.332751488121233,1,1.4
21330622.7575966,0.331734354071589,1,1.4
21577757.9633564,0.330720340709973,1,1.4
