age,period_days,star_1_mass(Donor),star_2_mass(NS)
100000,9.99999983840486,1,1.4
220000,9.99999964494961,1,1.4
364000,9.99999941344305,1,1.4
536800,9.99999913648363,1,1.4
744160,9.99999880522825,1,1.4
992992,9.99999840907899,1,1.4
1291590.4,9.99999793529484,1,1.4
1649908.48,9.99999736851294,1,1.4
2079890.176,9.99999669013093,1,1.4
2595868.2112,9.99999587755156,1,1.4
3215041.85344,9.99999490327843,1,1.4
3958050.224128,9.9999937338959,1,1.4
4849660.2689536,9.99999232890698,1,1.4
5919592.32274432,9.99999063944746,1,1.4
7203510.78729318,9.99998860678158,1,1.4
8744212.94475182,9.99998616042606,1,1.4
10593055.5337022,9.9999832155873,1,1.4
12811666.6404426,9.99997967061155,1,1.4
15473999.9685311,9.99997540356776,1,1.4
18668799.9622374,9.99997026768834,1,1.4
22502559.9546848,9.99996408722491,1,1.4
27103071.9456218,9.99995665041959,1,1.4
32623686.3347462,9.99994770255813,1,1.4
39248423.6016954,9.99993693730959,1,1.4
47198108.3220345,9.99992398514767,1,1.4
56737729.9864414,9.99990840270924,1,1.4
68185275.9837297,9.99988965626705,1,1.4
81922331.1804756,9.99986710238598,1,1.4
98406797.4165707,9.99983996480855,1,1.4
118188156.899885,9.99980730670596,1,1.4
141925788.279862,9.99976799685812,1,1.4
170410945.935834,9.99972066751135,1,1.4
204593135.123001,9.99966366406747,1,1.4
245611762.147601,9.99959498102337,1,1.4
294834114.577121,9.99951218282415,1,1.4
353900937.492546,9.99941230533919,1,1.4
424781124.991055,9.9992917302351,1,1.4
509837349.989266,9.99914602450942,1,1.4
611904819.987119,9.99896973421544,1,1.4
734385783.984543,9.99875611386702,1,1.4
881362940.781451,9.99849676996647,1,1.4
1055105238.97611,9.99818593663887,1,1.4
1208216053.88592,9.99790862391026,1,1.4
1351638010.97054,9.99764581485337,1,1.4
1490165742.06455,9.99738906890303,1,1.4
1626039240.27383,9.99713437804053,1,1.4
1760337412.90887,9.99687977527896,1,1.4
1893586139.38997,9.9966242677989,1,1.4
2026040738.96534,9.99636734551616,1,1.4
2157822244.70961,9.99610874070141,1,1.4
2288984165.1218,9.99584831704756,1,1.4
2419545301.54348,9.99558599386597,1,1.4
2549506349.7111,9.99532172512946,1,1.4
2678858417.88641,9.99505548932973,1,1.4
2807586868.42322,9.99478726937534,1,1.4
2935674528.87704,9.99451705350562,1,1.4
3063104358.22795,9.99424483202106,1,1.4
3189859557.14245,9.99397059363036,1,1.4
3315922808.15556,9.99369433469707,1,1.4
3441275832.44976,9.993416045913,1,1.4
3565899327.26811,9.9931357350055,1,1.4
3689772977.53474,9.99285340226706,1,1.4
3812875570.87521,9.99256905183735,1,1.4
3935185121.94051,9.99228269302475,1,1.4
4056678981.51976,9.99199432500752,1,1.4
4177334942.35561,9.99170397974196,1,1.4
4297132393.33738,9.99141166871351,1,1.4
4416052381.87759,9.99111740963274,1,1.4
4534077011.11361,9.99082121197613,1,1.4
4651189265.70496,9.99052308582935,1,1.4
4767373650.43045,9.9902230396081,1,1.4
4882616379.36218,9.98992108225386,1,1.4
4996904620.08256,9.98961722580762,1,1.4
5110225955.00898,9.98931143934391,1,1.4
5222568576.72069,9.98900377011369,1,1.4
5333922133.1232,9.98869422595777,1,1.4
5444277745.32362,9.988382811692,1,1.4
5553627234.622,9.98806953780748,1,1.4
5661961344.27439,9.98775441779879,1,1.4
5769268425.6003,9.98743747338463,1,1.4
5875532709.47238,9.98711874237763,1,1.4
5980731870.81369,9.98679828764699,1,1.4
6084835525.76785,9.98647620479117,1,1.4
6187803236.87797,9.98615262936975,1,1.4
6289583939.88687,9.98582774284453,1,1.4
6390118945.75553,9.98550176193047,1,1.4
6489344316.84535,9.98517493466292,1,1.4
6587191898.1614,9.98484756047104,1,1.4
6683593122.34393,9.9845199495674,1,1.4
6778487407.67289,9.98419730266294,1,1.4
6871834624.72414,9.98387005969734,1,1.4
6963915191.32347,9.98354221007977,1,1.4
7054909019.48101,9.98321318543202,1,1.4
7144723432.5064,9.98288337595094,1,1.4
7233497952.95389,9.98255231036642,1,1.4
7321247204.72404,9.98221992689769,1,1.4
7405720197.23889,9.98189506292739,1,1.4
7484086786.7231,9.98158932670738,1,1.4
7555633547.9561,9.98130644264666,1,1.4
7620744068.4376,9.98104578775562,1,1.4
7680225549.82271,9.98080489462656,1,1.4
7734990744.05776,9.98058063710771,1,1.4
7785990618.86856,9.98036965079642,1,1.4
7833922229.14396,9.98016938136992,1,1.4
7879310225.90783,9.97997792964357,1,1.4
7922626205.76015,9.97979352492956,1,1.4
7964230716.65302,9.97961480704102,1,1.4
8004399379.1316,9.97944073158904,1,1.4
8043314904.67056,9.97927062021876,1,1.4
8081137385.48219,9.97910387373866,1,1.4
8117997032.33975,9.97894000155849,1,1.4
8153994220.99013,9.97877863000107,1,1.4
8189212027.57961,9.97861944288865,1,1.4
8223722920.03371,9.97846217578033,1,1.4
8257585383.6081,9.97830661225256,1,1.4
8290843616.39849,9.97815259309361,1,1.4
8323537581.62815,9.97799997642216,1,1.4
8355699730.79741,9.97784863115813,1,1.4
8387379663.16795,9.977698385411,1,1.4
8418593762.12277,9.97754917857959,1,1.4
8449350211.22142,9.97740101757691,1,1.4
8479662514.29317,9.97725386143701,1,1.4
8509526374.22988,9.97710776042693,1,1.4
8538961130.45194,9.97696264904178,1,1.4
8567981015.28967,9.97681847473694,1,1.4
8596592949.71325,9.97667524501295,1,1.4
8624803475.39985,9.97653295507948,1,1.4
8652619374.21852,9.97639159830075,1,1.4
8680046589.4724,9.97625116653817,1,1.4
8707098412.89621,9.97611162338295,1,1.4
8733779389.81414,9.97597297077886,1,1.4
8760090777.04944,9.975835229411,1,1.4
8786039535.96988,9.97569838907785,1,1.4
8811626696.20479,9.97556247023675,1,1.4
8836854964.1659,9.97542747885217,1,1.4
8861732441.84578,9.9752934031675,1,1.4
8886265259.19829,9.97516023690672,1,1.4
8910453930.97155,9.97502800268934,1,1.4
8934300664.2306,9.97489671467744,1,1.4
8957809501.0111,9.97476636758892,1,1.4
8980984477.13675,9.97463697207687,1,1.4
9003828957.98143,9.97450853476542,1,1.4
9026346877.6204,9.9743810587136,1,1.4
9048542256.54615,9.9742545390607,1,1.4
9070427946.63031,9.97412893595874,1,1.4
9092009306.55493,9.97400424149649,1,1.4
9113282567.48459,9.9738804992246,1,1.4
9134250853.05544,9.97375771521956,1,1.4
9154920626.69662,9.97363587624325,1,1.4
9175295488.69976,9.97351498647808,1,1.4
9195379355.42299,9.97339504365279,1,1.4
9215177974.8823,9.97327603053816,1,1.4
9234692209.60334,9.97315797229755,1,1.4
9253925322.53568,9.97304086528133,1,1.4
9272882440.74954,9.97292470553306,1,1.4
9291567560.6852,9.97280949064721,1,1.4
9309984898.82976,9.97269521601304,1,1.4
9328138628.07653,9.97258187324221,1,1.4
9346032219.86844,9.97246946550531,1,1.4
9363669816.72575,9.97235798731519,1,1.4
9381056157.21206,9.97224742893201,1,1.4
9398195425.36704,9.97213778435123,1,1.4
9415091712.94211,9.97202904438614,1,1.4
9431749069.71658,9.97192120530696,1,1.4
9448172892.55933,9.97181425168724,1,1.4
9464367271.77096,9.97170817533237,1,1.4
9480335093.61669,9.97160297537662,1,1.4
9496080238.49334,9.97149864261916,1,1.4
9511606458.1573,9.97139517169004,1,1.4
9526917598.29814,9.97129255437593,1,1.4
9542017328.07695,9.97119078175095,1,1.4
9556909107.087,9.97108984984148,1,1.4
9571596515.4949,9.97098975121331,1,1.4
9586083341.18301,9.97089047595363,1,1.4
9600374354.41473,9.9707920074676,1,1.4
9614472583.17112,9.97069434048223,1,1.4
9628381223.5796,9.97059746806905,1,1.4
9642104060.60193,9.97050137201409,1,1.4
9655643585.4805,9.97040605761192,1,1.4
9669003166.49701,9.9703115144439,1,1.4
9682185893.63313,9.97021773764024,1,1.4
9695195594.57361,9.97012471130677,1,1.4
9708037868.44312,9.9700324111203,1,1.4
9720714887.13829,9.96994082971857,1,1.4
9733227191.49036,9.96984998020736,1,1.4
9745577784.40727,9.96975985289493,1,1.4
9757769429.76643,9.96967044184354,1,1.4
9769805011.65536,9.96958173851117,1,1.4
9784247709.92208,9.96947465924629,1,1.4
9801578947.84214,9.96934523735179,1,1.4
9822376433.3462,9.9691885774927,1,1.4
9847333415.95109,9.96899858824004,1,1.4
9877281795.07695,9.9687676768216,1,1.4
9913219850.02798,9.96848623551355,1,1.4
9954525676.13974,9.96815683841746,1,1.4
9998372660.33527,9.96780022368006,1,1.4
10042985826.8658,9.96742987831467,1,1.4
10087327026.4663,9.96705401772407,1,1.4
10130823722.8076,9.96667749760862,1,1.4
10173144375.0609,9.96630342657901,1,1.4
10214221304.8794,9.96593270993513,1,1.4
10254058785.6879,9.96556568936825,1,1.4
10292607502.1751,9.96520320232756,1,1.4
10329875247.0257,9.96484556600391,1,1.4
10365872048.5422,9.96449316532087,1,1.4
10400660626.5221,9.96414578486337,1,1.4
10434277516.6628,9.96380347005069,1,1.4
10466759787.313,9.96346625213664,1,1.4
10498178763.8232,9.96313380086111,1,1.4
10528582572.1098,9.96280595342892,1,1.4
10558017178.8725,9.96248257927235,1,1.4
10586510236.6476,9.96216369736582,1,1.4
10614055141.3604,9.96184974947151,1,1.4
10640674663.419,9.96154080738483,1,1.4
10666428548.8669,9.96123650704276,1,1.4
10691328250.6876,9.96093706550317,1,1.4
10715403287.1819,9.96064244314995,1,1.4
10738700781.5751,9.9603523858221,1,1.4
10761237460.8039,9.96006698971277,1,1.4
10783052815.0358,9.9597860167992,1,1.4
10804161644.262,9.95950956650275,1,1.4
10824549017.9474,9.95923815336645,1,1.4
10844248603.4491,9.95897160172449,1,1.4
10863283909.4671,9.95870988061217,1,1.4
10881676715.389,9.95845297637224,1,1.4
10899461641.0766,9.9582006403697,1,1.4
10916637981.6729,9.95795316077421,1,1.4
10933224217.5336,9.95771052274948,1,1.4
10949241357.5681,9.95747264925467,1,1.4
10964701164.7239,9.95723962751568,1,1.4
10979654391.1867,9.95701092603578,1,1.4
10994118127.6817,9.95678648158449,1,1.4
11008093613.8161,9.95656649790432,1,1.4
11021611990.5626,9.95635065536997,1,1.4
11034671643.1526,9.95613921055548,1,1.4
11047279746.7742,9.95593225164426,1,1.4
11059466358.201,9.95572946471197,1,1.4
11071245763.2714,9.95553078726047,1,1.4
11082630034.6041,9.95533621479787,1,1.4
11093639513.3661,9.95514556149729,1,1.4
11104292124.1788,9.95495868249007,1,1.4
11114602986.1715,9.95477545759602,1,1.4
11124588243.2016,9.9545957506698,1,1.4
11134263108.5771,9.95441940696898,1,1.4
11143640029.4182,9.95424633652627,1,1.4
11152722067.5098,9.95407662350559,1,1.4
11161527662.8257,9.95391004274176,1,1.4
11170080223.5015,9.95374624062184,1,1.4
11178378441.41,9.95358537695392,1,1.4
11186430296.658,9.95342740947785,1,1.4
11194257898.3424,9.95327199847388,1,1.4
11201879368.5151,9.95311887872059,1,1.4
11209308027.8774,9.95296785894442,1,1.4
11216545951.3205,9.9528189767703,1,1.4
11223600921.3348,9.95267214788472,1,1.4
11230484907.2031,9.95252718231082,1,1.4
11237201429.4803,9.95238408242825,1,1.4
11243761165.7602,9.95224268670057,1,1.4
11250180151.1359,9.95210270352435,1,1.4
11256460488.6844,9.95196413403459,1,1.4
11262606979.8164,9.95182693188136,1,1.4
11268629817.3187,9.9516908829943,1,1.4
11274526594.8515,9.95155611516731,1,1.4
11280303417.4568,9.95142253942444,1,1.4
11285977484.6591,9.95128979360756,1,1.4
11291550489.8493,9.95115787514735,1,1.4
11297024254.3936,9.95102677301407,1,1.4
11302408536.2906,9.95089627650767,1,1.4
11307707751.0094,9.95076630781379,1,1.4
11312925632.0288,9.95063679132029,1,1.4
11318067284.2903,9.95050763460461,1,1.4
11323136028.0789,9.95037876472012,1,1.4
11328138930.925,9.95025001728977,1,1.4
11333078930.6385,9.95012133433555,1,1.4
